sija;hinta_sis_alv;hinta_alv0;urakkasumma_alv0;materiaalit_osto_alv0;materiaalit_alv0;laudoitus;raystas;homeenesto;maalinpoisto;pohjamaalaus;varinvaihto;maasto;korkeus;seinapinta_m2;maalit_l;tyo_h;kesto_pv
1;4547,13;3623,21;1473,48;501,24;375,93;Panelointi;Umpiräystäs;ei;Ei maalinpoistoa;Ei pohjamaalausta;ei;Tasainen;Keskitaso;174,50;36,54;46,68;2,92
2;4729,26;3768,33;1526,89;542,47;406,86;Panelointi;Avoräystäs;ei;Ei maalinpoistoa;Ei pohjamaalausta;ei;Tasainen;Keskitaso;174,50;37,69;48,38;3,02
3;4755,26;3789,05;1532,55;551,06;413,29;Rimalaudoitus;Umpiräystäs;ei;Ei maalinpoistoa;Ei pohjamaalausta;ei;Tasainen;Keskitaso;187,59;38,59;48,56;3,03
4;4829,77;3848,42;1563,49;556,17;417,13;Panelointi;Umpiräystäs;ei;Helppo, 2 seinää;Ei pohjamaalausta;ei;Tasainen;Keskitaso;174,50;36,54;49,54;3,10
5;4875,23;3884,64;1603,47;531,24;398,43;Panelointi;Umpiräystäs;ei;Ei maalinpoistoa;Ei pohjamaalausta;ei;Tasainen;Korkea;174,50;36,54;50,80;3,18
6;4875,23;3884,64;1603,47;531,24;398,43;Panelointi;Umpiräystäs;ei;Ei maalinpoistoa;Ei pohjamaalausta;ei;Lievä rinne;Keskitaso;174,50;36,54;50,80;3,18
7;4875,67;3885,00;1603,68;531,24;398,43;Panelointi;Umpiräystäs;kyllä;Ei maalinpoistoa;Ei pohjamaalausta;ei;Tasainen;Keskitaso;174,50;36,54;50,81;3,18
8;4887,55;3894,46;1585,96;562,29;421,72;Rimalaudoitus;Avoräystäs;ei;Ei maalinpoistoa;Ei pohjamaalausta;ei;Tasainen;Keskitaso;187,59;39,75;50,25;3,14
9;4925,78;3924,93;1608,50;556,17;417,13;Panelointi;Umpiräystäs;ei;Vaikea, 2 seinää;Ei pohjamaalausta;ei;Tasainen;Keskitaso;174,50;36,54;50,96;3,19
10;4961,56;3953,44;1616,90;567,40;425,55;Panelointi;Avoräystäs;ei;Helppo, 2 seinää;Ei pohjamaalausta;ei;Tasainen;Keskitaso;174,50;37,69;51,23;3,20
11;5004,54;3987,68;1629,31;577,86;433,39;Rimalaudoitus;Umpiräystäs;ei;Helppo, 2 seinää;Ei pohjamaalausta;ei;Tasainen;Keskitaso;187,59;38,59;51,62;3,23
12;5007,16;3989,77;1657,08;542,47;406,86;Panelointi;Avoräystäs;kyllä;Ei maalinpoistoa;Ei pohjamaalausta;ei;Tasainen;Keskitaso;174,50;37,69;52,50;3,28
13;5018,04;3998,44;1662,22;542,47;406,86;Panelointi;Avoräystäs;ei;Ei maalinpoistoa;Ei pohjamaalausta;ei;Tasainen;Korkea;174,50;37,69;52,66;3,29
14;5018,04;3998,44;1662,22;542,47;406,86;Panelointi;Avoräystäs;ei;Ei maalinpoistoa;Ei pohjamaalausta;ei;Lievä rinne;Keskitaso;174,50;37,69;52,66;3,29
15;5032,79;4010,19;1662,75;551,06;413,29;Rimalaudoitus;Umpiräystäs;kyllä;Ei maalinpoistoa;Ei pohjamaalausta;ei;Tasainen;Keskitaso;187,59;38,59;52,68;3,29
16;5044,85;4019,80;1668,45;551,06;413,29;Rimalaudoitus;Umpiräystäs;ei;Ei maalinpoistoa;Ei pohjamaalausta;ei;Tasainen;Korkea;187,59;38,59;52,86;3,30
17;5044,85;4019,80;1668,45;551,06;413,29;Rimalaudoitus;Umpiräystäs;ei;Ei maalinpoistoa;Ei pohjamaalausta;ei;Lievä rinne;Keskitaso;187,59;38,59;52,86;3,30
18;5056,94;4029,44;1661,91;567,40;425,55;Panelointi;Avoräystäs;ei;Vaikea, 2 seinää;Ei pohjamaalausta;ei;Tasainen;Keskitaso;174,50;37,69;52,65;3,29
19;5060,89;4032,59;1653,50;581,10;435,82;Panelointi;Umpiräystäs;ei;Helppo, 4 seinää;Ei pohjamaalausta;ei;Tasainen;Keskitaso;174,50;36,54;52,39;3,27
20;5106,26;4068,74;1693,69;556,17;417,13;Panelointi;Umpiräystäs;kyllä;Helppo, 2 seinää;Ei pohjamaalausta;ei;Tasainen;Keskitaso;174,50;36,54;53,66;3,35
21;5106,84;4069,19;1677,70;577,86;433,39;Rimalaudoitus;Umpiräystäs;ei;Vaikea, 2 seinää;Ei pohjamaalausta;ei;Tasainen;Keskitaso;187,59;38,59;53,15;3,32
22;5122,16;4081,40;1670,38;597,30;447,97;Lomalaudoitus;Umpiräystäs;ei;Ei maalinpoistoa;Ei pohjamaalausta;ei;Tasainen;Keskitaso;218,13;43,39;52,92;3,31
23;5122,82;4081,92;1667,35;601,75;451,31;Panelointi;Umpiräystäs;ei;Ei maalinpoistoa;Pohjamaalaus, 2 seinää;ei;Tasainen;Keskitaso;174,50;44,37;52,83;3,30
24;5124,80;4083,51;1702,48;556,17;417,13;Panelointi;Umpiräystäs;ei;Helppo, 2 seinää;Ei pohjamaalausta;ei;Tasainen;Korkea;174,50;36,54;53,94;3,37
25;5124,80;4083,51;1702,48;556,17;417,13;Panelointi;Umpiräystäs;ei;Helppo, 2 seinää;Ei pohjamaalausta;ei;Lievä rinne;Keskitaso;174,50;36,54;53,94;3,37
26;5135,19;4091,78;1682,72;589,09;441,82;Rimalaudoitus;Avoräystäs;ei;Helppo, 2 seinää;Ei pohjamaalausta;ei;Tasainen;Keskitaso;187,59;39,75;53,31;3,33
27;5163,25;4114,14;1716,15;562,29;421,72;Rimalaudoitus;Avoräystäs;kyllä;Ei maalinpoistoa;Ei pohjamaalausta;ei;Tasainen;Keskitaso;187,59;39,75;54,37;3,40
28;5178,00;4125,89;1746,46;531,24;398,43;Panelointi;Umpiräystäs;ei;Ei maalinpoistoa;Ei pohjamaalausta;ei;Lievä rinne;Korkea;174,50;36,54;55,33;3,46
29;5178,47;4126,27;1746,69;531,24;398,43;Panelointi;Umpiräystäs;kyllä;Ei maalinpoistoa;Ei pohjamaalausta;ei;Tasainen;Korkea;174,50;36,54;55,34;3,46
30;5178,47;4126,27;1746,69;531,24;398,43;Panelointi;Umpiräystäs;kyllä;Ei maalinpoistoa;Ei pohjamaalausta;ei;Lievä rinne;Keskitaso;174,50;36,54;55,34;3,46
